"mesv","anov","id_dep","total_deputado"
7,2016,73579,3
8,2016,73579,3
10,2016,73579,7
11,2016,73579,6
12,2016,73579,5
2,2017,73579,4
3,2017,73579,3
2,2015,73584,2
3,2015,73584,7
4,2015,73584,5
5,2015,73584,5
6,2015,73584,4
7,2015,73584,2
8,2015,73584,9
9,2015,73584,11
10,2015,73584,9
11,2015,73584,4
12,2015,73584,1
2,2016,73584,6
3,2016,73584,5
5,2016,73584,4
6,2016,73584,7
7,2016,73584,3
8,2016,73584,2
10,2016,73584,1
2,2017,73584,4
3,2017,73584,3
2,2015,73586,5
3,2015,73586,8
4,2015,73586,10
5,2015,73586,8
6,2015,73586,7
7,2015,73586,4
8,2015,73586,10
9,2015,73586,12
10,2015,73586,7
11,2015,73586,7
12,2015,73586,1
2,2016,73586,6
3,2016,73586,8
4,2016,73586,3
5,2016,73586,5
6,2016,73586,5
7,2016,73586,3
8,2016,73586,4
10,2016,73586,7
11,2016,73586,6
12,2016,73586,4
2,2017,73586,3
3,2017,73586,3
5,2016,73588,2
6,2016,73588,5
7,2016,73588,3
8,2016,73588,4
2,2015,73655,7
3,2015,73655,8
4,2015,73655,10
5,2015,73655,11
6,2015,73655,7
7,2015,73655,4
8,2015,73655,10
9,2015,73655,14
10,2015,73655,10
11,2015,73655,7
12,2015,73655,2
2,2016,73655,6
3,2016,73655,11
4,2016,73655,4
5,2016,73655,4
6,2016,73655,7
7,2016,73655,3
8,2016,73655,5
10,2016,73655,6
11,2016,73655,6
12,2016,73655,6
2,2017,73655,4
3,2017,73655,3
2,2015,73666,5
3,2015,73666,6
4,2015,73666,6
5,2015,73666,10
6,2015,73666,7
7,2015,73666,4
8,2015,73666,10
9,2015,73666,11
10,2015,73666,7
11,2015,73666,6
12,2015,73666,2
2,2016,73666,4
3,2016,73666,5
4,2016,73666,2
5,2016,73666,1
6,2016,73666,1
7,2016,73666,2
8,2016,73666,2
10,2016,73666,3
11,2016,73666,4
12,2016,73666,2
3,2017,73666,1
2,2015,73674,7
3,2015,73674,12
4,2015,73674,10
5,2015,73674,8
6,2015,73674,7
7,2015,73674,2
8,2015,73674,10
9,2015,73674,12
10,2015,73674,8
11,2015,73674,6
12,2015,73674,2
2,2016,73674,5
3,2016,73674,9
4,2016,73674,3
5,2016,73674,5
6,2016,73674,4
7,2016,73674,1
8,2016,73674,5
10,2016,73674,6
11,2016,73674,6
12,2016,73674,5
2,2017,73674,4
3,2017,73674,1
2,2015,73692,6
3,2015,73692,9
4,2015,73692,9
5,2015,73692,6
6,2015,73692,6
7,2015,73692,4
8,2015,73692,9
9,2015,73692,10
10,2015,73692,4
11,2015,73692,6
12,2015,73692,2
2,2016,73692,5
3,2016,73692,7
4,2016,73692,3
5,2016,73692,2
2,2015,73701,3
3,2015,73701,10
4,2015,73701,9
5,2015,73701,11
6,2015,73701,7
7,2015,73701,3
8,2015,73701,10
9,2015,73701,13
10,2015,73701,4
11,2015,73701,7
12,2015,73701,2
2,2016,73701,5
3,2016,73701,10
4,2016,73701,3
5,2016,73701,2
10,2016,73701,5
11,2016,73701,6
12,2016,73701,4
2,2017,73701,4
3,2017,73701,3
2,2015,73714,5
3,2015,73714,12
4,2015,73714,8
5,2015,73714,11
6,2015,73714,7
7,2015,73714,4
8,2015,73714,6
9,2015,73714,13
10,2015,73714,8
11,2015,73714,3
12,2015,73714,2
2,2016,73714,6
3,2016,73714,4
4,2016,73714,3
5,2016,73714,5
6,2016,73714,7
7,2016,73714,3
8,2016,73714,5
10,2016,73714,5
11,2016,73714,5
12,2016,73714,4
2,2017,73714,2
3,2017,73714,3
2,2015,73720,4
3,2015,73720,11
4,2015,73720,6
5,2015,73720,11
6,2015,73720,5
7,2015,73720,4
8,2015,73720,9
9,2015,73720,10
10,2015,73720,3
4,2016,73720,1
5,2016,73720,2
10,2016,73720,1
3,2017,73720,2
2,2015,73768,6
3,2015,73768,10
4,2015,73768,9
5,2015,73768,11
6,2015,73768,7
7,2015,73768,4
8,2015,73768,10
9,2015,73768,13
10,2015,73768,9
11,2015,73768,7
12,2015,73768,2
2,2016,73768,4
3,2016,73768,10
4,2016,73768,3
5,2016,73768,3
6,2016,73768,4
7,2016,73768,3
8,2016,73768,5
10,2016,73768,4
11,2016,73768,6
12,2016,73768,5
2,2017,73768,4
3,2017,73768,3
2,2015,73772,4
3,2015,73772,11
4,2015,73772,10
5,2015,73772,11
6,2015,73772,7
7,2015,73772,4
8,2015,73772,9
9,2015,73772,13
10,2015,73772,3
11,2015,73772,6
12,2015,73772,1
2,2016,73772,3
3,2016,73772,5
4,2016,73772,1
5,2016,73772,1
6,2016,73772,4
7,2016,73772,1
10,2016,73772,4
11,2016,73772,5
2,2017,73772,1
3,2017,73772,2
2,2015,73778,4
3,2015,73778,9
4,2015,73778,10
5,2015,73778,11
6,2015,73778,7
7,2015,73778,4
8,2015,73778,8
9,2015,73778,12
10,2015,73778,8
11,2015,73778,7
12,2015,73778,2
2,2016,73778,5
3,2016,73778,11
4,2016,73778,4
5,2016,73778,5
6,2016,73778,7
7,2016,73778,3
8,2016,73778,5
10,2016,73778,7
11,2016,73778,6
12,2016,73778,5
2,2017,73778,3
3,2017,73778,3
2,2015,73781,5
3,2015,73781,10
4,2015,73781,10
5,2015,73781,11
6,2015,73781,7
7,2015,73781,4
8,2015,73781,10
9,2015,73781,12
10,2015,73781,9
11,2015,73781,7
12,2015,73781,2
2,2016,73781,5
3,2016,73781,8
4,2016,73781,3
5,2016,73781,4
6,2016,73781,7
7,2016,73781,3
8,2016,73781,5
10,2016,73781,7
11,2016,73781,6
12,2016,73781,4
2,2017,73781,4
3,2017,73781,2
10,2016,73786,3
11,2016,73786,5
12,2016,73786,3
2,2017,73786,3
3,2017,73786,2
2,2015,73788,4
3,2015,73788,8
4,2015,73788,6
5,2015,73788,11
6,2015,73788,4
7,2015,73788,4
8,2015,73788,10
9,2015,73788,10
10,2015,73788,9
11,2015,73788,6
12,2015,73788,2
2,2016,73788,6
3,2016,73788,8
4,2016,73788,3
5,2016,73788,2
2,2015,73793,2
3,2015,73793,7
4,2015,73793,7
5,2015,73793,11
6,2015,73793,7
7,2015,73793,4
