"idecadastro","nomeParlamentar","urlFoto"
159237,"ASSIS CARVALHO","http://www.camara.gov.br/internet/deputado/bandep/159237.jpg"
74378,"ASSIS DO COUTO","http://www.camara.gov.br/internet/deputado/bandep/74378.jpg"
160581,"ASSIS MELO","http://www.camara.gov.br/internet/deputado/bandep/160581.jpg"
74090,"ÁTILA LINS","http://www.camara.gov.br/internet/deputado/bandep/74090.jpg"
74459,"ÁTILA LIRA","http://www.camara.gov.br/internet/deputado/bandep/74459.jpg"
73655,"AUGUSTO CARVALHO","http://www.camara.gov.br/internet/deputado/bandep/73655.jpg"
160665,"AUGUSTO COUTINHO","http://www.camara.gov.br/internet/deputado/bandep/160665.jpg"
160512,"AUREO","http://www.camara.gov.br/internet/deputado/bandep/160512.jpg"
69871,"BACELAR","http://www.camara.gov.br/internet/deputado/bandep/69871.jpg"
178975,"BALEIA ROSSI","http://www.camara.gov.br/internet/deputado/bandep/178975.jpg"
178834,"BEBETO","http://www.camara.gov.br/internet/deputado/bandep/178834.jpg"
73701,"BENEDITA DA SILVA","http://www.camara.gov.br/internet/deputado/bandep/73701.jpg"
74535,"BENITO GAMA","http://www.camara.gov.br/internet/deputado/bandep/74535.jpg"
74040,"BENJAMIN MARANHÃO","http://www.camara.gov.br/internet/deputado/bandep/74040.jpg"
160554,NA,NA
109152,NA,NA
178915,"BETINHO GOMES","http://www.camara.gov.br/internet/deputado/bandep/178915.jpg"
74321,NA,NA
73478,NA,NA
141335,"BETO FARO","http://www.camara.gov.br/internet/deputado/bandep/141335.jpg"
73437,"BETO MANSUR","http://www.camara.gov.br/internet/deputado/bandep/73437.jpg"
178948,"BETO ROSADO","http://www.camara.gov.br/internet/deputado/bandep/178948.jpg"
178906,"BETO SALAME","http://www.camara.gov.br/internet/deputado/bandep/178906.jpg"
74373,NA,NA
141513,"BILAC PINTO","http://www.camara.gov.br/internet/deputado/bandep/141513.jpg"
160538,"BOHN GASS","http://www.camara.gov.br/internet/deputado/bandep/160538.jpg"
